Name,Calories,Carbs,Protein,Fat,Sugar,Fibre,Cholesterol,calcium,phosphorus,magnesium,sodium,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vit a_ug,vit e_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug
Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07,18.84,3.73,9.47,1.15,4.68,0.00,22.00,103.43,44.53,190.03,222.94,1.59,0.16,14.09,0.00,0.96,0.01,0.90,0.00,4.44,4.13,0.00,8.60,0.00,25.84,0.13,0.07,0.79,0.47,0.13,1.27,25.84
Dal parantha/paratha,268.24,30.03,6.78,13.05,1.43,6.46,0.00,23.89,158.21,63.15,156.13,268.85,2.45,0.30,25.16,0.00,1.31,0.04,1.53,0.00,5.90,5.05,0.00,4.83,0.00,37.84,0.20,0.08,1.15,0.55,0.13,0.70,37.84
Sprouted moong parantha/paratha,228.59,24.31,4.29,12.43,1.47,4.49,0.00,20.33,120.66,49.59,153.94,150.07,1.94,0.19,18.51,0.00,1.10,0.02,1.10,0.00,5.88,4.82,0.00,4.64,0.00,16.33,0.17,0.06,0.95,0.38,0.12,0.59,16.33
Pea parantha/paratha (Matar ka parantha/paratha),190.73,21.51,5.59,8.80,1.29,5.61,0.00,23.49,103.50,49.23,109.99,197.71,1.78,0.22,13.73,0.00,0.95,0.02,1.17,0.00,4.24,8.38,0.00,20.29,0.00,31.05,0.21,0.05,1.14,0.51,0.15,1.97,31.05
Keema parantha/paratha,238.09,18.36,9.41,13.91,0.99,3.44,25.66,19.35,152.13,43.62,140.62,213.77,1.80,0.17,14.86,0.00,0.84,0.01,1.98,1.67,4.57,3.70,0.00,3.56,0.00,11.49,0.16,0.10,2.30,0.56,0.15,1.12,11.49
Paneer parantha/paratha,262.97,24.33,7.98,14.62,3.77,4.00,0.00,127.65,181.47,48.99,142.52,141.55,1.70,0.19,22.13,0.03,1.01,0.01,1.59,0.00,5.31,4.37,0.00,4.10,0.00,34.11,0.14,0.08,0.85,0.42,0.10,5.43,34.11
Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),216.49,21.39,5.54,12.09,1.31,4.39,0.00,33.07,101.72,53.30,177.19,251.93,1.85,0.18,11.71,0.01,1.06,0.01,0.90,0.00,6.02,2.89,0.00,68.84,0.00,61.41,0.18,0.08,0.85,0.41,0.15,2.29,61.41
Poori,737.63,8.22,1.35,77.61,0.23,1.46,1.58,3.98,40.35,16.07,31.73,39.91,0.60,0.07,6.80,0.00,0.38,0.00,0.37,5.91,37.90,1.72,0.00,5.03,0.00,3.74,0.05,0.02,0.30,0.11,0.03,0.10,3.74
Spinach poori (Palak poori),684.25,7.76,1.42,71.86,0.24,1.55,1.46,10.02,39.97,21.42,35.47,84.67,0.79,0.08,6.45,0.00,0.44,0.00,0.38,5.46,35.16,1.61,0.00,28.81,0.00,14.00,0.06,0.03,0.31,0.12,0.04,0.40,14.00
Methi poori,710.02,7.98,1.45,74.60,0.26,1.61,1.51,14.61,41.04,18.01,35.37,48.54,0.81,0.07,6.59,0.00,0.40,0.01,0.37,5.67,36.43,1.74,0.00,21.38,0.00,6.51,0.06,0.03,0.33,0.13,0.05,0.28,6.51
Dal stuffed poori,785.16,10.14,2.08,81.69,0.29,1.96,1.66,6.88,53.37,22.74,128.18,81.94,0.83,0.09,7.76,0.00,0.51,0.01,0.47,6.21,39.86,2.10,0.00,6.08,0.00,6.44,0.06,0.02,0.39,0.20,0.05,0.14,6.44
Potato stuffed poori (Aloo ki poori),776.74,9.40,1.52,81.35,0.26,1.64,1.65,5.57,45.05,18.52,69.86,71.98,0.70,0.08,7.17,0.00,0.41,0.00,0.40,6.19,39.72,1.81,0.00,5.47,0.00,4.73,0.06,0.02,0.38,0.14,0.04,0.17,4.73
Tandoori parantha/paratha,295.37,30.74,5.08,16.51,0.86,5.44,39.77,14.98,150.90,59.88,1.14,148.98,1.96,0.23,25.45,0.00,1.43,0.01,1.37,149.07,1.06,6.43,0.00,0.72,0.00,14.00,0.20,0.07,1.14,0.42,0.12,0.36,14.00
Boiled rice (Uble chawal),117.19,25.72,2.60,0.18,0.22,1.25,0.00,2.70,46.67,8.91,1.05,47.33,0.24,0.09,0.40,0.00,0.26,0.02,0.36,0.00,0.03,0.00,0.00,0.50,0.00,3.25,0.06,0.02,0.84,0.18,0.07,0.10,3.25
Plain pulao,140.21,21.82,2.34,4.62,1.15,1.69,0.00,12.76,42.93,12.30,193.76,74.74,0.41,0.09,0.40,0.00,0.47,0.03,0.37,0.00,2.20,0.28,0.00,2.01,0.00,7.35,0.05,0.02,0.72,0.19,0.07,0.52,7.35
Mixed vegetable pulao,113.05,17.49,2.72,3.33,1.35,2.67,0.00,19.61,44.58,17.60,187.92,133.82,0.60,0.11,0.49,0.00,0.43,0.03,0.43,0.00,1.60,1.95,0.00,9.58,0.00,18.39,0.08,0.02,0.73,0.27,0.12,1.40,18.39
Mushroom pulao,124.29,19.02,2.52,4.03,1.00,1.88,0.00,13.54,49.03,13.23,222.36,108.70,0.39,0.09,0.34,0.00,0.42,0.02,0.34,0.00,1.89,3.11,0.00,3.47,0.00,7.47,0.05,0.02,0.71,0.23,0.08,1.73,7.47
Sprouted moong pulao,112.97,17.49,2.19,3.61,1.43,1.78,0.00,16.26,42.22,13.05,153.16,95.52,0.65,0.08,0.33,0.00,0.39,0.02,0.34,0.00,1.68,0.38,0.00,3.76,0.00,10.58,0.06,0.02,0.61,0.21,0.08,0.57,10.58
Paneer pulao,581.91,8.76,1.98,59.81,1.11,0.62,0.00,33.09,35.47,6.11,72.28,31.25,0.26,0.05,1.53,0.01,0.18,0.01,0.30,0.00,29.00,0.11,0.00,4.35,0.00,8.27,0.02,0.01,0.27,0.10,0.03,1.45,8.27
Peanut pulao ,193.28,21.18,5.32,9.51,1.60,2.90,0.00,18.52,91.56,38.11,168.40,159.16,0.83,0.21,0.82,0.00,0.63,0.05,0.76,0.00,2.49,1.23,0.00,2.07,0.00,19.02,0.12,0.03,2.21,0.31,0.10,0.67,19.02
Navratan pulao,261.71,36.98,6.20,9.45,2.52,3.82,0.00,59.61,107.10,32.27,334.26,185.63,1.10,0.22,2.65,0.01,0.98,0.04,0.98,0.00,3.76,2.51,0.00,11.43,0.00,25.65,0.13,0.04,1.33,0.46,0.15,2.74,25.65
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,27.57,4.88,4.82,2.48,3.15,0.00,18.94,72.14,21.62,170.05,164.60,0.95,0.17,0.35,0.00,0.98,0.02,0.70,0.00,2.00,0.24,0.00,2.98,0.00,84.14,0.11,0.05,0.84,0.39,0.14,0.45,84.14
Mutton biryani/biriyani,190.76,22.50,7.38,7.72,2.39,2.42,0.40,68.58,94.87,19.12,262.64,212.05,1.29,0.12,0.59,0.00,0.67,0.06,0.46,1.01,1.99,2.03,0.00,6.94,0.00,14.47,0.11,0.07,2.45,0.27,0.11,1.06,14.47
Vegetable biryani/biriyani,174.61,18.56,3.16,9.51,2.14,3.31,0.27,33.52,59.38,24.37,183.79,242.50,0.86,0.12,0.65,0.00,0.56,0.03,0.50,0.70,4.52,2.83,0.00,12.90,0.00,25.71,0.08,0.04,0.86,0.38,0.15,2.00,25.71
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.30,21.62,4.26,7.88,0.78,2.52,0.00,12.70,77.42,29.94,187.11,152.57,0.77,0.16,1.51,0.00,0.39,0.08,0.59,0.00,2.47,1.29,0.00,6.63,0.00,11.91,0.10,0.04,1.70,0.24,0.09,0.23,11.91
Sweet rice (Meethe chawal),215.41,42.59,2.10,4.57,24.80,1.13,9.55,11.38,39.74,11.13,3.20,56.08,0.34,0.11,0.38,0.00,0.46,0.04,0.32,35.79,0.50,0.22,0.00,0.92,0.00,3.06,0.04,0.02,0.62,0.14,0.05,0.16,3.06
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,32.93,5.75,4.32,3.91,2.13,3.12,101.52,133.75,24.28,213.29,211.78,0.59,0.13,1.83,0.01,0.35,0.06,0.74,7.93,1.06,1.58,0.00,7.91,0.00,13.06,0.10,0.15,1.14,0.46,0.14,1.45,13.06
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,65.08,7.45,8.53,11.65,5.12,7.70,50.94,147.53,58.32,162.41,369.08,2.89,0.37,3.67,0.02,0.81,0.45,1.13,28.85,1.97,7.05,0.00,13.31,0.00,18.01,0.21,0.08,2.29,0.52,0.21,0.49,18.01
Spanish rice,164.24,31.10,4.19,2.23,1.26,2.78,0.00,18.93,69.95,21.13,96.61,190.33,0.92,0.16,0.94,0.01,0.44,0.05,0.61,0.00,1.02,4.18,0.00,14.79,0.00,25.05,0.11,0.04,1.31,0.36,0.15,1.23,25.05
Chinese fried rice,120.58,13.40,4.05,5.43,1.47,2.31,52.09,34.70,70.05,18.99,248.36,210.87,0.99,0.09,6.13,0.00,0.26,0.02,0.51,28.18,2.18,0.57,0.12,23.24,2.08,38.95,0.06,0.06,0.70,0.43,0.18,4.23,38.95
Macroni cheese pie,170.63,21.10,5.85,7.48,3.40,0.40,15.99,122.01,162.88,19.78,200.51,156.11,0.54,0.09,5.54,0.00,0.21,0.01,0.71,60.18,0.32,2.52,0.00,5.85,0.00,11.77,0.06,0.08,0.84,0.41,0.07,1.86,11.77
Vegetable chowmein,129.71,15.44,3.07,6.36,1.97,1.86,0.00,28.33,56.26,21.67,258.47,201.59,0.99,0.09,3.90,0.00,0.27,0.01,0.39,0.00,3.00,0.59,0.00,20.64,0.00,33.17,0.06,0.04,0.93,0.30,0.15,1.94,33.17
Chicken chowmein,151.33,13.30,6.33,8.23,1.63,1.64,10.73,26.10,77.93,21.81,288.15,225.32,0.89,0.13,6.64,0.00,0.24,0.01,0.46,1.21,3.23,0.53,0.24,18.15,4.84,29.70,0.07,0.04,2.19,0.45,0.22,2.41,29.70
Cheese noodle ring,133.67,13.96,6.22,6.12,2.84,1.27,55.67,99.30,140.95,20.45,241.96,176.93,0.79,0.09,8.66,0.00,0.19,0.02,0.73,61.17,0.43,2.14,0.11,8.18,1.84,23.84,0.07,0.09,0.67,0.55,0.12,4.43,23.84
Spaghetti and cheese balls in tomato sauce,508.32,7.82,2.41,52.08,1.83,0.59,3.83,40.59,39.59,8.73,104.14,68.28,0.32,0.05,2.67,0.01,0.10,0.00,0.32,17.42,24.57,2.53,0.00,9.19,0.00,12.01,0.03,0.02,0.36,0.13,0.04,1.57,12.01
Penne platter,177.40,20.87,5.04,8.71,4.50,1.09,2.29,67.67,87.01,21.93,283.37,202.22,0.90,0.11,6.89,0.01,0.30,0.01,0.67,5.97,1.06,1.53,0.00,6.79,0.00,23.02,0.08,0.03,1.16,0.37,0.10,3.50,23.02
Pasta hot pot,125.17,11.60,5.84,6.47,5.99,0.80,27.19,55.28,100.04,17.09,231.17,215.22,0.82,0.07,3.26,0.00,0.17,0.01,0.89,24.04,1.00,1.63,0.03,4.95,0.44,13.39,0.20,0.09,1.44,0.38,0.10,1.79,13.39
Chicken lasagne,187.49,13.90,10.45,10.36,2.74,0.11,50.38,119.98,190.02,18.11,238.55,176.85,0.64,0.12,9.92,0.00,0.12,0.01,0.80,81.45,0.40,0.05,0.38,0.76,7.46,11.86,0.07,0.10,2.40,0.65,0.18,3.44,11.86
Fettuccine with spinach sauce,129.21,12.19,3.10,7.83,1.18,0.77,10.29,53.67,64.04,34.19,153.59,247.35,1.28,0.10,3.86,0.01,0.46,0.01,0.43,45.57,0.69,0.15,0.00,94.43,0.00,48.13,0.08,0.05,0.61,0.22,0.08,1.64,48.13
Naan,286.45,51.75,8.05,4.99,5.59,1.91,10.15,88.01,245.77,27.53,326.11,166.24,1.29,0.13,0.47,0.00,0.45,0.08,0.80,39.97,0.20,4.36,0.00,1.57,0.00,14.22,0.11,0.10,0.57,0.58,0.07,1.04,14.22
Bhatura,793.20,10.73,1.63,82.56,0.69,0.38,0.38,12.12,39.05,4.89,28.30,30.07,0.33,0.03,0.07,0.00,0.09,0.00,0.15,0.96,40.58,0.92,0.00,5.33,0.00,2.85,0.02,0.02,0.11,0.12,0.01,0.17,2.85
Idli,137.54,28.18,4.64,0.33,0.28,2.31,0.00,8.00,79.30,25.44,100.83,158.13,0.68,0.14,2.75,0.00,0.38,0.05,0.62,0.00,0.04,0.84,0.00,1.28,0.00,11.77,0.07,0.03,0.93,0.46,0.09,0.17,11.77
Masala dosa,164.58,19.57,3.29,7.84,1.33,2.52,0.00,15.58,62.57,26.62,191.28,271.77,0.79,0.13,2.34,0.00,0.31,0.10,0.50,0.00,3.71,1.48,0.00,5.96,0.00,17.05,0.06,0.03,0.84,0.39,0.09,0.90,17.05
Semolina dosa (Suji/Rava dosa),227.05,32.84,7.30,7.12,4.37,4.04,4.59,116.04,196.56,28.14,202.36,254.06,1.39,0.19,4.94,0.00,0.78,0.05,1.16,11.68,2.81,5.03,0.00,5.41,0.00,21.61,0.14,0.14,0.58,0.55,0.11,1.50,21.61
Onion tomato uttapam,462.02,11.32,1.91,45.30,0.80,1.26,0.00,5.82,33.48,12.35,143.53,90.20,0.36,0.07,1.03,0.00,0.17,0.04,0.27,0.00,22.28,1.45,0.00,5.99,0.00,8.37,0.03,0.01,0.42,0.21,0.05,0.40,8.37
Paneer kaathi roll,285.94,20.10,6.92,19.55,3.29,2.40,30.84,101.66,131.60,29.55,221.03,130.50,1.42,0.13,14.56,0.02,0.57,0.02,1.09,16.69,8.14,2.52,0.07,4.61,1.23,36.43,0.09,0.07,0.56,0.44,0.09,6.02,36.43
Makki ki roti,263.97,24.19,3.49,16.85,0.70,5.19,39.07,14.76,102.02,53.51,236.22,152.79,1.11,0.16,3.08,0.00,0.26,0.03,0.83,146.44,1.04,11.86,0.00,1.18,0.00,12.61,0.12,0.03,0.98,0.14,0.13,0.46,12.61
Washed moong dal (Dhuli moong ki dal),50.00,5.91,2.68,1.68,0.12,1.17,0.00,8.48,47.49,19.19,150.64,151.48,0.64,0.11,5.45,0.00,0.14,0.08,0.30,0.00,0.74,0.28,0.00,1.47,0.00,10.10,0.04,0.02,0.23,0.18,0.03,0.07,10.10
Washed urad dal (Dhuli urad ki dal),61.32,5.84,2.51,2.98,0.32,1.53,0.00,10.24,42.13,21.32,142.21,143.16,0.72,0.08,2.46,0.00,0.25,0.04,0.35,0.00,1.36,1.00,0.00,2.04,0.00,10.27,0.03,0.01,0.23,0.32,0.03,0.19,10.27
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,7.10,2.79,3.60,1.05,2.72,0.00,14.33,46.19,21.16,149.47,183.95,0.99,0.12,5.86,0.00,0.34,0.04,0.50,0.00,1.48,1.84,0.00,4.86,0.00,32.43,0.06,0.02,0.36,0.33,0.05,0.97,32.43
Dry washed urad,124.71,15.66,6.85,3.50,0.73,4.06,0.00,27.08,114.17,57.16,295.79,384.33,1.89,0.21,6.77,0.01,0.64,0.09,0.94,0.00,1.46,2.70,0.00,8.45,0.00,28.14,0.07,0.03,0.60,0.87,0.09,0.51,28.14
Mixed dal,61.93,5.79,2.51,3.10,0.34,1.62,0.00,11.00,42.41,19.72,141.36,144.27,0.78,0.10,4.24,0.00,0.27,0.11,0.36,0.00,1.36,0.59,0.00,2.16,0.00,13.55,0.04,0.02,0.24,0.23,0.03,0.19,13.55
Whole moong (Moong ki dal),53.70,5.22,2.25,2.56,0.59,2.02,0.00,13.58,37.07,22.53,123.86,149.16,0.68,0.11,2.08,0.00,0.21,0.07,0.29,0.00,1.22,1.73,0.00,4.99,0.00,16.17,0.05,0.03,0.30,0.22,0.05,0.39,16.17
Whole masoor (Masoor ki dal),54.05,5.37,2.28,2.52,0.67,1.98,0.00,12.20,29.01,12.74,123.72,112.96,0.95,0.10,4.97,0.00,0.26,0.11,0.35,0.00,1.21,3.00,0.00,4.34,0.00,14.07,0.05,0.02,0.33,0.19,0.06,0.42,14.07
Whole moth (Moth ki dal),55.00,5.74,2.01,2.62,0.66,1.85,0.00,18.98,37.86,23.14,125.08,164.84,0.95,0.08,1.68,0.00,0.22,0.04,0.23,0.00,1.26,2.31,0.00,5.87,0.00,34.05,0.05,0.01,0.27,0.16,0.04,0.46,34.05
Whole urad (Urad ki dal),53.80,5.05,2.21,2.62,0.57,2.32,0.00,13.07,36.56,21.91,126.12,141.57,0.78,0.09,2.51,0.00,0.28,0.05,0.33,0.00,1.22,2.85,0.00,4.65,0.00,15.21,0.04,0.02,0.27,0.39,0.07,0.38,15.21
Moti mahal dal (Urad rajmah mix dal),103.13,8.74,3.93,5.66,1.70,3.38,1.92,38.13,74.56,33.51,157.61,246.09,1.05,0.13,3.92,0.00,0.35,0.06,0.55,7.52,2.41,4.90,0.00,6.84,0.00,32.48,0.06,0.05,0.45,0.60,0.11,0.88,32.48
Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,14.11,5.67,6.61,2.36,7.99,0.00,53.87,87.47,55.36,358.63,388.59,2.43,0.27,10.43,0.01,0.95,0.11,1.04,0.00,3.02,5.83,0.00,17.61,0.00,72.87,0.12,0.08,0.90,0.77,0.17,1.36,72.87
Chickpeas curry (Safed channa curry),163.43,19.98,6.10,6.84,4.78,4.73,0.00,30.61,83.72,35.09,357.99,334.30,1.82,0.23,0.11,0.00,1.31,0.06,0.88,0.00,2.80,5.35,0.00,19.33,0.00,153.92,0.15,0.07,0.76,0.57,0.21,1.13,153.92
Lobia curry,148.99,17.88,6.06,5.62,2.51,4.57,0.00,36.80,113.74,68.62,355.41,465.14,2.21,0.26,6.10,0.01,0.65,0.15,1.05,0.00,2.77,5.58,0.00,17.52,0.00,72.37,0.11,0.04,0.79,0.54,0.16,2.12,72.37
Soyabean curry,163.28,6.76,10.43,10.19,2.66,7.34,0.00,65.13,144.26,62.61,352.69,563.45,2.79,0.26,4.33,0.01,0.84,0.19,1.06,0.00,2.93,22.81,0.00,28.64,0.00,86.63,0.19,0.08,0.95,0.67,0.19,1.32,86.63
Kidney bean curry (Rajmah curry),143.73,16.38,5.95,5.77,2.49,5.83,0.00,47.87,123.00,58.61,354.60,485.90,2.27,0.26,5.73,0.01,0.58,0.10,0.87,0.00,2.65,12.04,0.00,18.31,0.00,93.63,0.11,0.07,0.98,0.63,0.13,1.32,93.63
Sambar,96.92,10.57,3.35,4.38,3.31,3.52,0.00,30.24,59.32,32.16,159.54,298.29,1.24,0.20,2.36,0.01,0.28,0.11,0.47,0.00,1.04,3.31,0.00,34.16,0.00,26.51,0.08,0.05,0.53,0.26,0.08,0.78,26.51
Besan kadhi with pakodies,403.35,3.56,1.64,42.59,0.88,0.81,0.94,24.53,27.83,8.75,60.80,70.21,0.38,0.03,0.54,0.00,0.12,0.02,0.16,2.39,20.85,0.39,0.00,10.83,0.00,13.13,0.03,0.04,0.16,0.11,0.04,0.70,13.13
Khatta channa,202.57,21.14,6.30,10.56,4.75,5.26,0.00,40.77,86.54,38.76,513.32,344.78,1.94,0.25,0.20,0.00,1.53,0.04,0.93,0.00,4.57,6.31,0.00,18.99,0.00,155.50,0.15,0.08,0.75,0.57,0.22,1.04,155.50
Sprouted moong dal chat,32.47,6.01,1.35,0.32,1.57,1.35,0.00,16.54,30.22,17.45,87.07,218.92,0.88,0.05,0.32,0.00,0.12,0.00,0.23,0.00,0.06,2.67,0.00,7.24,0.00,16.81,0.05,0.02,0.51,0.29,0.08,1.33,16.81
Potato cauliflower (Aloo gobhi),106.18,5.99,1.90,8.13,0.44,3.02,0.00,22.87,44.46,25.22,254.76,378.78,1.07,0.07,0.50,0.01,0.36,0.04,0.31,0.00,3.83,1.05,0.00,13.78,0.00,31.83,0.04,0.05,0.55,0.48,0.12,1.88,31.83
Potato capsicum (Shimla mirch aloo),125.53,8.72,1.41,9.33,0.54,2.02,0.00,16.45,35.27,22.01,277.92,364.15,0.86,0.09,0.45,0.01,0.32,0.05,0.25,0.00,4.49,0.61,0.00,15.09,0.00,26.40,0.05,0.02,0.79,0.28,0.12,2.30,26.40
Cabbage and peas (Pattagobhi aur matar),63.88,6.24,3.24,2.64,0.97,3.99,0.00,45.50,40.40,28.59,253.73,255.50,1.10,0.10,1.16,0.00,0.46,0.05,0.48,0.00,1.31,4.29,0.00,86.08,0.00,45.68,0.10,0.04,0.59,0.37,0.15,2.16,45.68
Carrot and fenugreek leaves (Gajar methi),61.92,4.17,2.10,3.81,2.11,4.43,0.00,128.83,46.65,37.10,262.91,255.95,2.72,0.12,0.62,0.02,0.59,0.01,0.38,0.00,1.81,1.80,0.00,179.39,0.00,42.81,0.07,0.11,0.45,0.36,0.22,2.72,42.81
Potato fenugreek (Aloo methi),135.15,8.47,2.25,10.04,0.54,2.93,0.00,107.80,43.75,38.24,221.93,370.24,2.53,0.12,0.84,0.02,0.51,0.01,0.37,0.00,4.87,1.11,0.00,160.01,0.00,35.81,0.07,0.09,0.82,0.38,0.20,2.47,35.81
Brinjal bhartha (Baingan ka bhartha),65.12,4.40,1.38,4.48,1.82,3.27,0.00,17.85,29.98,20.02,132.15,222.05,0.48,0.10,0.06,0.00,0.23,0.01,0.23,0.00,2.13,2.68,0.00,15.39,0.00,28.37,0.05,0.08,0.50,0.28,0.08,1.70,28.37
Dry potato (Sookhe aloo),103.15,14.38,1.62,4.18,0.33,1.88,0.00,17.20,45.21,26.89,199.99,531.41,0.83,0.10,0.73,0.00,0.18,0.03,0.31,0.00,1.92,0.21,0.00,2.92,0.00,14.85,0.06,0.01,1.03,0.36,0.10,1.28,14.85
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,4.39,2.62,11.39,2.06,5.59,0.00,51.92,55.02,40.93,271.65,336.81,1.34,0.14,0.94,0.01,0.39,0.10,0.44,0.00,3.13,3.65,0.00,24.62,0.00,50.73,0.06,0.07,0.79,0.26,0.34,4.30,50.73
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,3.99,2.64,11.56,1.71,5.27,0.00,35.37,55.98,32.97,286.06,344.84,1.33,0.13,1.25,0.01,0.37,0.09,0.40,0.00,3.08,3.29,0.00,24.08,0.00,40.01,0.05,0.08,0.48,0.50,0.14,1.99,40.01
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,4.99,1.82,8.62,2.36,4.52,0.00,48.63,44.13,26.35,219.60,278.73,0.84,0.10,1.30,0.01,0.32,0.07,0.29,0.00,2.38,2.25,0.00,72.10,0.00,36.22,0.04,0.06,0.38,0.26,0.13,1.34,36.22
Raw turnip with coconut ,132.15,5.78,1.80,11.47,4.40,2.79,0.00,50.65,51.75,22.89,275.55,312.07,0.82,0.10,1.61,0.00,0.28,0.09,0.26,0.00,3.07,2.41,0.00,14.60,0.00,18.65,0.06,0.04,0.54,0.22,0.10,0.40,18.65
Raw papaya with coconut (Papaya thoran),132.75,5.58,1.54,11.42,3.82,4.31,0.00,33.74,40.45,27.59,270.56,240.52,0.82,0.13,1.80,0.01,0.23,0.09,0.25,0.00,3.11,7.63,0.00,16.14,0.00,29.21,0.04,0.06,0.36,0.24,0.07,1.17,29.21
Stuffed okra (Bharwa bhindi),94.34,3.85,2.08,7.66,0.48,4.15,0.00,86.89,57.10,64.47,210.03,265.83,1.18,0.14,0.95,0.01,0.34,0.06,0.47,0.00,4.03,6.80,0.00,20.60,0.00,57.89,0.04,0.07,0.62,0.26,0.25,1.44,57.89
Stuffed round gourd (Bharwa tinde),72.80,4.02,1.10,5.75,1.96,2.10,0.00,20.21,27.09,18.75,180.15,132.68,0.59,0.08,0.18,0.00,0.23,0.03,0.22,0.00,2.79,4.97,0.00,12.66,0.00,28.63,0.03,0.02,0.49,0.28,0.08,2.23,28.63
Stuffed capsicum (Bharwa shimla mirch),90.94,8.26,1.34,5.70,1.21,2.01,0.00,15.17,32.59,18.80,173.94,312.57,0.61,0.08,0.41,0.01,0.22,0.00,0.24,0.00,2.71,0.52,0.00,12.27,0.00,30.56,0.05,0.02,0.71,0.28,0.12,2.70,30.56
Stuffed brinjal (Bharwa baingan),93.00,3.96,1.53,7.73,0.92,4.09,0.00,24.37,34.47,23.60,212.88,250.79,0.75,0.12,0.04,0.01,0.22,0.05,0.25,0.00,3.63,0.99,0.00,13.34,0.00,30.89,0.06,0.11,0.55,0.29,0.07,1.60,30.89
Stuffed tomatoes (Bharwa tamatar),93.35,6.19,3.28,6.06,2.68,2.20,0.00,59.16,54.52,18.83,165.85,202.88,0.62,0.08,2.40,0.01,0.17,0.02,0.51,0.00,2.35,8.16,0.00,22.42,0.00,27.61,0.06,0.03,0.57,0.29,0.09,3.33,27.61
Pea potato curry (Aloo matar),100.92,9.74,3.48,5.13,1.86,3.61,0.00,21.10,40.52,27.53,154.83,274.26,1.02,0.13,0.80,0.00,0.35,0.03,0.56,0.00,2.55,7.12,0.00,24.68,0.00,31.77,0.13,0.02,0.85,0.42,0.13,2.44,31.77
Pea paneer curry (Matar paneer),134.83,9.29,6.61,7.75,3.89,3.30,0.00,105.20,92.18,27.99,157.34,188.18,1.08,0.14,4.83,0.02,0.35,0.03,1.01,0.00,2.54,7.11,0.00,24.29,0.00,45.80,0.12,0.04,0.69,0.44,0.12,5.99,45.80
Pea mushroom curry (Matar mushroom),93.30,7.41,3.87,5.16,1.82,3.86,0.00,22.70,48.39,26.49,155.48,234.06,0.97,0.13,0.66,0.00,0.35,0.03,0.54,0.00,2.54,10.79,0.00,26.55,0.00,30.47,0.12,0.03,0.79,0.43,0.14,3.86,30.47
Pea curry (Matar ki sabzi),102.99,9.20,4.51,5.11,1.98,4.44,0.00,24.48,42.77,30.42,154.75,221.62,1.20,0.16,0.96,0.00,0.41,0.03,0.71,0.00,2.57,9.41,0.00,32.27,0.00,38.85,0.16,0.03,0.90,0.47,0.15,2.92,38.85
Pea vadi curry,101.95,8.90,4.64,5.08,1.92,4.28,0.00,23.62,44.59,30.16,149.51,216.10,1.20,0.16,0.92,0.00,0.41,0.03,0.71,0.00,2.52,9.08,0.00,31.14,0.00,38.02,0.16,0.03,0.87,0.46,0.15,2.82,38.02
Paneer curry,176.52,8.40,7.80,12.38,6.29,1.40,0.00,189.06,139.48,21.83,216.09,142.72,0.81,0.09,8.68,0.04,0.27,0.04,1.18,0.00,3.38,3.37,0.00,11.45,0.00,47.23,0.03,0.05,0.33,0.33,0.08,8.81,47.23
Lotus stem curry (Kamal kakdi curry),110.34,9.24,1.53,7.25,2.09,3.14,0.00,26.59,44.69,21.82,217.05,345.65,1.71,0.14,1.81,0.01,0.74,0.04,0.29,0.00,3.64,3.43,0.00,27.92,0.00,22.46,0.05,0.03,0.44,0.22,0.14,2.07,22.46
Gravy for kofta,125.59,6.31,1.75,10.35,3.73,1.96,1.18,39.65,42.51,19.19,312.86,199.42,0.75,0.08,0.37,0.00,0.33,0.05,0.31,3.02,4.90,4.79,0.00,16.19,0.00,19.82,0.04,0.05,0.41,0.26,0.10,1.73,19.82
Pea kofta curry (Matar kofta curry),595.66,4.17,2.01,63.39,0.88,1.70,0.21,13.84,21.50,12.23,83.07,88.85,0.56,0.07,0.43,0.00,0.17,0.01,0.29,0.54,31.22,3.34,0.00,15.41,0.00,16.54,0.07,0.02,0.35,0.19,0.06,1.19,16.54
Spinach kofta curry (Palak kofta curry),571.78,3.56,1.09,61.49,0.82,0.92,0.20,29.31,17.90,20.78,104.51,158.65,0.83,0.06,0.75,0.01,0.29,0.01,0.17,0.52,30.40,0.88,0.00,67.09,0.00,31.12,0.05,0.03,0.21,0.09,0.05,1.07,31.12
